date,country,operator,channel,pod_fill_rate,endpoint_requests,bid_requests,bid_responses,bid_wons,impressions,revenue,requested_pod_duration,filled_pod_duration,delivered_pod_duration
23-08-22,MX,Op_002,Channel_002,0.15,8268,714194,63542,14936,6268,25.16,177.6,63.1,26.7
23-08-22,BR,Op_002,Channel_002,0,19977,1780104,38283,150,69,0.36,272.76,0.36,0.18
24-08-22,MX,Op_002,Channel_002,0.18,11799,1176141,141846,27231,11379,45.9,288.06,123.66,52.47
24-08-22,BR,Op_002,Channel_002,0.01,18744,1892388,75912,1191,537,3.36,290.31,5.1,2.43
25-08-22,MX,Op_002,Channel_002,0.16,8112,852340,91942,16646,7232,29.1,195.14,70.32,31.08
25-08-22,BR,Op_002,Channel_002,0.01,6984,721371,26875,470,170,1,95.9,1.61,0.62
26-08-22,MX,Op_002,Channel_002,0.08,11223,1224660,128034,20133,5028,20.19,304.08,95.31,24.66
26-08-22,BR,Op_002,Channel_002,0.01,12616,1365564,49252,800,312,2.52,201.08,4.58,2.12
27-08-22,MX,Op_002,Channel_002,0.06,7822,926954,75360,13424,2662,10.7,220.3,61.14,12.34
27-08-22,BR,Op_002,Channel_002,0.01,8058,956848,31559,1324,272,1.51,110.38,3.26,0.65
28-08-22,MX,Op_002,Channel_002,0.12,9264,1036568,91898,16502,6050,24.3,207.92,64.58,24.44
28-08-22,BR,Op_002,Channel_002,0.01,27459,3107325,101376,3588,963,6.33,315.45,7.71,1.83
29-08-22,MX,Op_002,Channel_002,0.13,8092,920086,74234,12230,5886,23.82,211.32,54.32,26.56
29-08-22,BR,Op_002,Channel_002,0.01,13962,1612298,55148,1434,510,3.4,214.64,4.08,1.54
29-08-22,US,Op_002,Channel_002,0,3,387,24,0,0,0,360,0,0
30-08-22,MX,Op_002,Channel_002,0.11,7200,778656,63714,9982,4568,18.48,196.16,46.86,21.6
30-08-22,BR,Op_002,Channel_002,0.04,13360,1460320,50388,5094,2182,11.82,197.6,16.22,7.32
31-08-22,MX,Op_002,Channel_002,0.13,3601,413479,32790,5376,2663,10.78,102.8,25.89,12.89
31-08-22,BR,Op_002,Channel_002,0.04,6040,698001,24708,2722,1071,5.97,103.96,9.04,3.75
01-09-22,MX,Op_002,Channel_002,0.04,7902,821962,43898,3734,1862,7.7,193.16,14.46,7.22
01-09-22,BR,Op_002,Channel_002,0.01,13652,1364302,52732,2138,788,6.32,185.5,5.14,1.86
02-09-22,MX,Op_002,Channel_002,0.03,10563,1178493,59295,4227,1980,8.37,310.98,18.36,8.64
02-09-22,BR,Op_002,Channel_002,0,19941,2214867,79536,1065,405,4.29,309.57,2.73,1.02
03-09-22,MX,Op_002,Channel_002,0.02,14007,1525806,70695,4272,2271,9.69,303.57,14.22,7.5
03-09-22,BR,Op_002,Channel_002,0.01,8138,871624,28148,701,224,1.78,99.47,2.04,0.66
04-09-22,BR,Op_002,Channel_002,0.02,18748,2050740,65518,3322,1048,6.42,203.22,9.54,3.06
04-09-22,MX,Op_002,Channel_002,0.02,15531,1679589,72846,4551,2028,8.52,301.35,12.96,5.85
05-09-22,MX,Op_002,Channel_002,0.06,4587,480937,24371,2798,1388,5.81,97.36,11.55,5.68
05-09-22,BR,Op_002,Channel_002,0.02,13226,1369060,49656,2494,776,5.2,192.2,10.08,3.1
06-09-22,MX,Op_002,Channel_002,0.08,3851,386952,20928,2992,1496,6.4,93.26,15.3,7.69
06-09-22,BR,Op_002,Channel_002,0.01,7476,733486,26534,1295,393,2.78,91.04,4.49,1.32
07-09-22,MX,Op_002,Channel_002,0.06,12954,1251402,74112,11040,3267,14.43,268.41,42.03,16.86
07-09-22,BR,Op_002,Channel_002,0.01,9083,865880,30191,1089,333,2.03,88.41,3.27,0.97
08-09-22,MX,Op_002,Channel_002,0.09,12306,1202472,68715,10305,4608,20.31,271.92,49.47,24.51
08-09-22,BR,Op_002,Channel_002,0.01,24183,2334972,83223,3267,1164,5.58,268.62,11.13,3.81
09-09-22,MX,Op_002,Channel_002,0.1,3956,426865,29444,5986,1985,8.45,100.22,26.14,10.34
09-09-22,BR,Op_002,Channel_002,0.03,20364,2184939,79386,6297,2415,11.64,298.95,24.24,9.51
10-09-22,BR,Op_002,Channel_002,0.12,28677,2660157,98286,24885,10290,50.64,258,72.99,30.57
10-09-22,MX,Op_002,Channel_002,0.08,10058,969666,64106,13136,3646,15.74,178.9,44.72,15.18
11-09-22,BR,Op_002,Channel_002,0.07,30819,2994747,103920,16929,6648,32.76,270.39,46.74,18.39
11-09-22,MX,Op_002,Channel_002,0.09,5414,532098,35556,6718,2138,9.04,91.12,21.97,8.03
12-09-22,BR,Op_002,Channel_002,0.06,22569,2337882,159852,20406,8427,115.86,288.54,47.49,18.6
12-09-22,MX,Op_002,Channel_002,0.15,13887,1421613,125523,28302,10890,103.89,285.12,100.35,43.47
13-09-22,BR,Op_002,Channel_002,0.07,13262,1429574,103234,17338,5680,92.12,200.24,46.26,14.44
13-09-22,MX,Op_002,Channel_002,0.13,7268,800732,66866,14022,5134,57.8,204.7,64.66,25.86
14-09-22,BR,Op_002,Channel_002,0.11,7804,827000,60020,14384,4230,59.53,98.41,35.49,10.75
14-09-22,MX,Op_002,Channel_002,0.17,8494,926248,90716,21316,7516,77.62,202.6,85.78,33.46
15-09-22,BR,Op_002,Channel_002,0.11,21519,2278473,113199,32898,9798,94.29,295.02,102.75,33.57
15-09-22,MX,Op_002,Channel_002,0.15,12342,1281834,111408,24411,8100,66.96,289.29,106.26,41.97
16-09-22,BR,Op_002,Channel_002,0.09,14308,1471580,51582,11112,4546,23.68,190.98,43.66,17.92
16-09-22,MX,Op_002,Channel_002,0.08,10506,1092348,62126,10926,3600,15.96,193.08,37.16,14.66
17-09-22,MX,Op_002,Channel_002,0.06,9124,950430,57030,11420,2618,11.5,193.44,40.16,12.06
17-09-22,BR,Op_002,Channel_002,0.03,15940,1671864,55612,4448,1672,9.16,194.78,14.7,5.48
18-09-22,MX,Op_002,Channel_002,0.06,5810,588241,26684,4471,1512,6.96,93.98,14.11,5.33
18-09-22,BR,Op_002,Channel_002,0.01,27702,2687856,88644,2220,870,5.58,270.09,4.29,1.68
18-09-22,US,Op_002,Channel_002,0,3,207,12,0,0,0,180,0,0
19-09-22,MX,Op_002,Channel_002,0.1,10614,1020902,62168,13020,4658,21.56,178.48,43.56,18.46
19-09-22,BR,Op_002,Channel_002,0.02,9027,884673,46801,2955,897,5.41,90.94,7.18,2.14
20-09-22,MX,Op_002,Channel_002,0.14,8306,829758,50244,11110,5164,24.36,191.46,51.44,26.04
20-09-22,BR,Op_002,Channel_002,0.02,9896,1005845,68678,2332,750,4.69,97.94,5.01,1.54
21-09-22,BR,Op_002,Channel_002,0.05,29568,2865492,278316,22869,6825,41.49,298.65,49.77,15.03
21-09-22,MX,Op_002,Channel_002,0.09,11568,1114728,74169,12834,4857,22.17,296.88,59.19,26.52
22-09-22,BR,Op_002,Channel_002,0.08,10699,1024940,103155,12470,4043,26.15,98.36,25.12,8.24
22-09-22,MX,Op_002,Channel_002,0.12,8542,777904,54324,10750,5006,25.62,186.58,47.16,23.26
23-09-22,BR,Op_002,Channel_002,0.13,31962,2885904,286536,51462,16290,107.04,277.35,106.05,35.13
23-09-22,MX,Op_002,Channel_002,0.12,7846,715184,53142,12110,5006,28.06,186.78,51.66,22.8
24-09-22,BR,Op_002,Channel_002,0.13,25574,2460800,240004,36328,13258,89.16,197.64,64.46,24.94
24-09-22,MX,Op_002,Channel_002,0.13,12021,1202388,106482,22740,8253,41.61,308.64,99.81,39.54
25-09-22,BR,Op_002,Channel_002,0.1,30510,2655904,263232,39204,12036,86.36,177.62,57.86,18.64
25-09-22,MX,Op_002,Channel_002,0.08,5858,521283,32046,5616,2206,11.77,90.94,16.85,7.31
26-09-22,BR,Op_002,Channel_002,0.11,32694,2947404,268578,42090,13938,89.31,276.93,88.5,30.81
26-09-22,MX,Op_002,Channel_002,0.09,14577,1331832,83487,14805,6096,31.02,280.53,56.76,26.64
27-09-22,BR,Op_002,Channel_002,0.14,33696,3021600,284202,51375,16860,112.83,275.34,109.86,37.5
27-09-22,MX,Op_002,Channel_002,0.1,12000,1046160,101325,13719,5256,25.47,267.3,65.01,27.96
28-09-22,BR,Op_002,Channel_002,0.09,33915,3259932,289998,38829,13659,95.61,296.1,76.32,27.15
28-09-22,MX,Op_002,Channel_002,0.21,3784,364312,97231,11587,4669,20.83,98.9,49.7,20.7
29-09-22,BR,Op_002,Channel_002,0.14,21878,1992136,194062,37902,12878,104.3,186.56,76.08,26.32
29-09-22,MX,Op_002,Channel_002,0.14,6998,639040,105416,13184,5192,23.16,187.12,63.12,25.98
30-09-22,BR,Op_002,Channel_002,0.1,10028,961987,93020,13409,4167,38.93,98.48,29.51,9.71
30-09-22,MX,Op_002,Channel_002,0.3,3809,370948,78194,17835,7355,37.65,100.07,71.34,30.46
01-10-22,BR,Op_002,Channel_002,0.06,11781,1205189,117992,12503,3660,47.37,105.31,20.57,6
01-10-22,MX,Op_002,Channel_002,0.09,4008,411704,28242,4717,2114,11.05,105.78,20.31,9.37
02-10-22,BR,Op_002,Channel_002,0.03,38574,3784812,340431,18045,5661,76.74,302.52,31.17,9.99
02-10-22,MX,Op_002,Channel_002,0.05,5061,509228,27425,2386,1081,6.63,103.52,10.43,4.97
03-10-22,BR,Op_002,Channel_002,0.03,31881,3125028,255054,12672,3804,39.78,302.13,26.19,8.16
03-10-22,MX,Op_002,Channel_002,0.08,9294,894064,60958,8792,3458,20.22,197.58,34.02,14.82
04-10-22,BR,Op_002,Channel_002,0.08,10067,937669,78484,10408,4081,27.31,95.5,19.58,7.57
04-10-22,MX,Op_002,Channel_002,0.11,7538,698344,80018,17098,4702,23.94,189.88,63.54,20.22
05-10-22,BR,Op_002,Channel_002,0.12,8985,866996,78558,12127,4686,39.09,99.1,31.24,11.71
05-10-22,MX,Op_002,Channel_002,0.13,10737,1033944,112932,27525,7854,40.2,296.67,111.93,37.14
06-10-22,BR,Op_002,Channel_002,0.11,11073,991472,90810,12909,4740,41.47,91.66,28.43,10.17
06-10-22,MX,Op_002,Channel_002,0.14,12396,1123056,111621,29550,10062,51.69,278.37,101.61,38.85
07-10-22,BR,Op_002,Channel_002,0.14,22424,2132976,187026,24892,10264,100.72,195.28,66.84,26.5
07-10-22,MX,Op_002,Channel_002,0.22,12759,1212180,121986,31911,12210,62.76,292.53,145.2,65.52
08-10-22,BR,Op_002,Channel_002,0.13,26652,2380000,211270,28808,11526,124.24,182.8,61.42,23.38
08-10-22,MX,Op_002,Channel_002,0.16,4692,420924,46356,15078,4319,21.55,91.88,45.64,14.97
09-10-22,BR,Op_002,Channel_002,0.1,50196,4904790,427215,55260,22158,178.71,301.2,82.02,31.62
09-10-22,MX,Op_002,Channel_002,0.12,18072,1767120,167136,34470,12198,67.47,301.5,88.89,36.78
10-10-22,BR,Op_002,Channel_002,0.09,12078,1148137,99694,14684,5672,40.57,97.53,23.32,8.71
10-10-22,MX,Op_002,Channel_002,0.15,4914,457094,43325,9788,3895,22.95,95.34,31.63,14.77
11-10-22,BR,Op_002,Channel_002,0.1,11341,1049092,90751,16014,6032,49.27,94.81,24.96,9.22
11-10-22,MX,Op_002,Channel_002,0.18,13320,1240200,122985,34527,11748,62.94,286.41,123.72,50.49
11-10-22,IL,Op_002,Channel_002,0.1,102,8152,934,70,68,0.3,207.06,20.78,20.2
12-10-22,BR,Op_002,Channel_002,0.12,28222,2640368,248140,49182,16756,149.88,191.92,70.92,23.52
12-10-22,MX,Op_002,Channel_002,0.13,8462,793264,81050,19172,5972,32.9,192.32,67.22,25.22
13-10-22,BR,Op_002,Channel_002,0.18,35694,3436560,353724,74961,28665,245.13,296.64,145.95,53.43
13-10-22,MX,Op_002,Channel_002,0.12,4346,418220,42083,8093,2838,15.91,98.82,28.46,11.79
14-10-22,BR,Op_002,Channel_002,0.16,34620,3341172,348918,66930,24264,183.48,297.36,129.51,46.47
14-10-22,MX,Op_002,Channel_002,0.37,11346,1094724,253803,58119,21285,100.41,297.33,260.88,108.9
15-10-22,BR,Op_002,Channel_002,0.12,40245,3972300,403701,80943,27540,210.9,304.41,111.12,36.3
15-10-22,MX,Op_002,Channel_002,0.26,8384,828808,172694,44452,13086,58.82,203.28,151.92,52.86
15-10-22,IL,Op_002,Channel_002,0,2,184,16,0,0,0,240,0,0
15-10-22,BO,Op_002,Channel_002,0,2,120,8,0,0,0,120,0,0
16-10-22,BR,Op_002,Channel_002,0.08,47787,4344708,384054,62202,22338,174.48,279.39,66.84,23.37
16-10-22,MX,Op_002,Channel_002,0.26,10874,1002238,203224,51320,15564,72.74,188.92,139.68,48.4
17-10-22,BR,Op_002,Channel_002,0.09,39954,3266196,283542,47796,18735,132.33,249.93,59.43,22.89
17-10-22,MX,Op_002,Channel_002,0.18,13614,1125552,139356,28311,10062,54.21,252.9,109.71,45.39
18-10-22,BR,Op_002,Channel_002,0.17,22114,2111540,180374,39264,16502,117.56,196.04,80.76,33.52
18-10-22,MX,Op_002,Channel_002,0.29,7926,748224,100862,27102,10026,57.5,193.74,128.98,56.12
